Row_ID,Order_of_orders,Order_of_families,Order,Family,Scientific_Name,Common_name,Region,Mountain_Range,ENSM_population,LOWER LIMIT LOW  (LLL) ,UPPER LIMIT LOW  (ULL),LOWER LIMIT HIGH  (LLH),UPPER LIMIT HIGH  (ULH),COMPLETE ENSM MAGNITUDE (min that all Indivs shift),Upper Shift (ULH-ULL),Lower Shift (LLH-LLL),PARTIAL ENSM MAGNITUDE (min that some indivs shift),Complete ENSM? y/n ,Partial ENSM y/n,"Partial ENSM, excludes complete ENSM",Lower Limit Is,Upper Limit is,Breed High or Low?, Non-breeding Elev Range,Breeding Elev Range,latitudinal_migrant (yes=1; 0=no),partial_lat_migrant (yes=1; 0=no),partial_elev_migrant (yes=1; 0=no),References,GBIF DOI
12,6,7,Charadriiformes,Scolopacidae,Calidris bairdii,Baird's Sandpiper,Nearctic-Neotropical,Andes,,0,400,2550,5000,2150,4600,2550,4600,yes,yes,no,Breeding,Non-breeding,Low,0-400,3500-4700,1,0,0,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007,
24,6,6,Charadriiformes,Laridae,Chroicocephalus serranus,Andean Gull,South America,Andes,,0,5390,3000,5300,-2390,-90,3000,3000,no,yes,yes,Non-breeding ,Breeding,High,0,3000-4600,0,0,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007,https://doi.org/10.15468/dl.wbasug
25,10,14,Passeriformes,Furnariidae,Cinclodes fuscus,Buff-winged Cinclodes,South America,Andes,Chile,0,1030,0,4410,-1030,3380,0,3380,no,yes,yes,Non-breeding ,Breeding,High,0-2584,0-3000,1,1,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; GBIF,https://doi.org/10.15468/dl.8jqnv4
26,10,14,Passeriformes,Furnariidae,Cinclodes oustaleti,Gray-flanked Cinclodes,South America,Andes,Chile,0,1115,0,4000,-1115,2885,0,2885,no,yes,yes,Non-breeding ,Breeding,High,0-3600,2000-4200,1,1,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; GBIF,https://doi.org/10.15468/dl.zhlzsx
57,10,13,Passeriformes,Tyrannidae,Muscisaxicola albilora,White-browed ground-tyrant,South America,Andes,,0,3920,2900,4200,-1020,280,2900,2900,no,yes,yes,Breeding,Non-breeding,Low,,,1,1,0,HBW; Jaramillo 2003; Schulenberg 2007; GBIF,https://doi.org/10.15468/dl.ep0kvz
58,10,13,Passeriformes,Tyrannidae,Muscisaxicola capistrata,Cinnamon-bellied Ground-Tyrant,South America,Andes,,0,1500,1865,4830,365,3330,1865,3330,no,yes,yes,Breeding,Non-breeding,Low,3800-4100,0-450,1,0,0,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007; GBIF,https://doi.org/10.15468/dl.zikfxt
59,10,13,Passeriformes,Tyrannidae,Muscisaxicola flavinucha,Ochre-naped Ground-Tyrant,South America,Andes,brevirostris,0,4500,3800,4900,-700,400,3800,3800,no,yes,yes,Breeding,Non-breeding,Low,3800-4900,500-1000,1,0,0,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007; GBIF,https://doi.org/10.15468/dl.ncvct9
60,10,13,Passeriformes,Tyrannidae,Muscisaxicola rufivertex,Rufous-naped Ground-tyrant,South America,Andes,pallidiceps,300,1000,2200,4000,1200,3000,1900,3000,no,yes,yes,Non-breeding ,Breeding,High,300-1000,2200-4000,0,0,1,Stotz; HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007,
63,6,8,Charadriiformes,Charadriidae,Oreopholus ruficollis,Tawny-throated Dotterel,South America,Andes,ruficollis ,0,485,3500,4600,3015,4115,3500,4115,yes,yes,no,Non-breeding ,Breeding,High,0-4568,3500-4600,1,1,1,HBW; Fjeldsa & Krabbe 1990; Schulenberg et al 2007; GBIF,https://doi.org/10.15468/dl.lwufp0
64,5,5,Apodiformes,Trochilidae,Oreotrochilus leucopleurus,White-sided Hillstar,South America,Andes,Chile,500,2050,500,4410,-1550,2360,0,2360,no,yes,yes,Non-breeding ,Breeding,High,500-2050,1200-4400,1,0,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Herzog et al. 2003; GBIF,https://doi.org/10.15468/dl.yhftwy
65,5,5,Apodiformes,Trochilidae,Patagona gigas,Giant Hummingbird,South America,Andes,gigas,0,2000,1790,4830,-210,2830,1790,2830,no,yes,yes,Breeding,Non-breeding,Low,2400-4100,0-2000,1,1,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007,https://doi.org/10.15468/dl.oq838p
88,10,13,Passeriformes,Tyrannidae,Pseudocolopteryx acutipennis,Subtropical Doradito,South America,Andes,,0,700,2200,3550,1500,2850,2200,2850,no,yes,yes,Non-breeding ,Breeding,High,0-700,2200-3550,1,0,1,HBW; Schulenberg 2007; Fjeldsa and Krabbe 1990,https://doi.org/10.15468/dl.snlqnh
90,6,7,Charadriiformes,Scolopacidae,Steganopus tricolor,Wilson's Phalarope,Nearctic-Neotropical,Andes,,0,2495,0,5000,-2495,2505,0,2505,no,yes,yes,Breeding,Non-breeding,Low,0-3420,2550-5000,1,0,1,"Parker et al. 19996; HBW, Colwell & Oring 1988; GBIF",https://doi.org/10.15468/dl.ivpede
100,6,7,Charadriiformes,Scolopacidae,Tringa flavipes,Lesser Yellowlegs,Nearctic-Neotropical,Andes,,0,1530,0,4800,-1530,3270,0,3270,no,yes,yes,Breeding,Non-breeding,Low,0-4800,0-2488,1,0,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007; Ridgely & Greenfield 2001; GBIF,https://doi.org/10.15468/dl.izf3fi
101,6,7,Charadriiformes,Scolopacidae,Tringa melanoleuca,Greater Yellowlegs,Nearctic-Neotropical,Andes,,0,1505,0,4800,-1505,3295,0,3295,no,yes,yes,Breeding,Non-breeding,Low,0-4800,0-3664,1,0,1,HBW; Fjeldsa & Krabbe 1990; Jaramillo 2003; Schulenberg 2007; Ridgely & Greenfield 2001; GBIF,https://doi.org/10.15468/dl.l5v7co
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
